Arquivo,TP_320,FP_320,FN_320,TP_1024,FP_1024,FN_1024,Observacoes
PROVA_BakuretsuKungFuGirl_035_R_raw_debug.png,9,2,2,11,0,0,
PROVA_BurariTessenTorimonocho_079_L_raw_debug.png,7,0,0,7,0,0,
PROVA_BurariTessenTorimonocho_079_R_raw_debug.png,8,0,0,8,0,0,
PROVA_BurariTessenTorimonocho_095_L_raw_debug.png,6,0,0,6,0,0,
PROVA_BurariTessenTorimonocho_095_R_raw_debug.png,10,0,0,10,0,0,
PROVA_Count3DeKimeteAgeru_002_L_raw_debug.png,0,0,1,0,0,1,
PROVA_Count3DeKimeteAgeru_026_L_raw_debug.png,4,0,0,4,0,0,
PROVA_Count3DeKimeteAgeru_026_R_raw_debug.png,3,0,0,3,0,0,
PROVA_DollGun_058_L_raw_debug.png,8,0,1,8,0,0,FN +1 por causa bloco com dois dentro
PROVA_DollGun_058_R_raw_debug.png,5,0,0,5,0,0,
PROVA_DollGun_079_L_raw_debug.png,5,0,0,5,0,0,
PROVA_DollGun_079_R_raw_debug.png,6,0,1,7,0,0,
PROVA_Donburakokko_003_L_raw_debug.png,3,0,0,3,0,0,
PROVA_Donburakokko_003_R_raw_debug.png,9,0,2,9,0,2,
PROVA_Donburakokko_018_L_raw_debug.png,7,0,0,7,0,0,
PROVA_Donburakokko_018_R_raw_debug.png,3,0,0,3,0,0,
PROVA_DualJustice_082_L_raw_debug.png,2,0,0,2,0,0,
PROVA_DualJustice_082_R_raw_debug.png,4,0,0,4,0,0,
PROVA_DualJustice_090_L_raw_debug.png,1,1,0,1,0,0,
PROVA_DualJustice_090_R_raw_debug.png,1,0,0,1,0,0,
PROVA_EienNoWith_013_L_raw_debug.png,12,0,3,12,0,0,
PROVA_EienNoWith_013_R_raw_debug.png,7,0,1,8,0,0,
PROVA_EienNoWith_106_L_raw_debug.png,0,0,1,1,0,0,
PROVA_EienNoWith_106_R_raw_debug.png,6,0,0,6,0,0,
PROVA_EvaLady_091_L_raw_debug.png,1,0,0,1,0,0,
PROVA_EvaLady_091_R_raw_debug.png,10,0,0,10,0,0,
PROVA_EvaLady_092_L_raw_debug.png,8,0,0,8,0,0,
PROVA_EvaLady_092_R_raw_debug.png,1,0,0,1,0,0,
PROVA_EverydayOsakanaChan_014_L_raw_debug.png,8,0,2,10,0,0,
PROVA_EverydayOsakanaChan_014_R_raw_debug.png,6,1,2,7,1,1,
PROVA_EverydayOsakanaChan_060_L_raw_debug.png,9,1,3,10,1,2,
PROVA_EverydayOsakanaChan_060_R_raw_debug.png,11,0,1,12,0,0,
PROVA_GakuenNoise_031_L_raw_debug.png,2,0,0,1,0,1,
PROVA_GakuenNoise_031_R_raw_debug.png,2,0,0,2,0,0,
PROVA_GakuenNoise_067_L_raw_debug.png,13,0,2,14,0,0,
PROVA_GakuenNoise_067_R_raw_debug.png,12,0,1,13,0,0,
PROVA_GarakutayaManta_021_L_raw_debug.png,5,0,0,5,0,0,
PROVA_GarakutayaManta_021_R_raw_debug.png,11,0,0,11,0,0,
PROVA_GarakutayaManta_050_L_raw_debug.png,7,2,2,8,1,0,
PROVA_GarakutayaManta_050_R_raw_debug.png,4,0,1,5,0,0,
PROVA_GinNoChimera_006_L_raw_debug.png,2,0,0,2,0,0,
PROVA_GinNoChimera_006_R_raw_debug.png,7,0,2,8,0,1,
PROVA_GinNoChimera_070_L_raw_debug.png,6,1,0,6,0,0,
PROVA_GinNoChimera_070_R_raw_debug.png,4,0,0,4,0,0,
PROVA_Hamlet_008_L_raw_debug.png,4,0,1,4,0,1,
PROVA_Hamlet_008_R_raw_debug.png,7,1,1,7,0,0,
PROVA_HanzaiKousyouninMinegishiEitarou_070_L_raw_debug.png,9,0,1,10,0,0,
PROVA_HanzaiKousyouninMinegishiEitarou_070_R_raw_debug.png,8,0,0,8,0,0,
PROVA_HanzaiKousyouninMinegishiEitarou_083_L_raw_debug.png,10,0,0,10,0,0,
PROVA_HanzaiKousyouninMinegishiEitarou_083_R_raw_debug.png,7,0,1,7,0,0,
PROVA_HaruichibanNoFukukoro_017_L_raw_debug.png,0,0,0,0,0,0,
PROVA_HaruichibanNoFukukoro_017_R_raw_debug.png,2,0,1,2,0,1,
PROVA_HaruichibanNoFukukoro_028_L_raw_debug.png,6,0,2,6,0,2,
PROVA_HaruichibanNoFukukoro_028_R_raw_debug.png,13,0,1,12,0,1,
PROVA_HarukaRefrain_041_R_raw_debug.png,4,1,0,4,0,0,
PROVA_HarukaRefrain_057_R_raw_debug.png,5,0,2,6,0,1,
PROVA_HealingPlanet_037_L_raw_debug.png,6,0,1,6,0,1,
PROVA_HealingPlanet_037_R_raw_debug.png,7,0,2,8,0,0,
PROVA_HealingPlanet_080_R_raw_debug.png,8,0,0,8,1,0,
PROVA_HeiseiJimen_036_L_raw_debug.png,6,0,0,6,0,0,
PROVA_HeiseiJimen_036_R_raw_debug.png,3,0,0,3,0,0,
PROVA_HeiseiJimen_093_L_raw_debug.png,1,0,0,1,0,0,
PROVA_HeiseiJimen_093_R_raw_debug.png,7,0,1,8,0,0,
PROVA_HinagikuKenzan_041_L_raw_debug.png,4,0,0,4,0,0,
PROVA_HinagikuKenzan_041_R_raw_debug.png,4,1,0,4,0,0,
PROVA_HisokaReturns_012_L_raw_debug.png,2,0,1,2,0,1,
PROVA_HisokaReturns_012_R_raw_debug.png,3,0,0,3,0,0,
PROVA_HisokaReturns_087_L_raw_debug.png,2,1,0,2,0,0,
PROVA_HisokaReturns_087_R_raw_debug.png,6,0,0,6,0,0,
PROVA_JangiriPonpon_025_L_raw_debug.png,10,0,0,10,0,0,
PROVA_JangiriPonpon_025_R_raw_debug.png,6,1,0,6,0,0,
PROVA_JangiriPonpon_101_L_raw_debug.png,10,0,0,10,0,0,
PROVA_JangiriPonpon_101_R_raw_debug.png,7,0,0,6,0,0,
PROVA_JijiBabaFight_045_L_raw_debug.png,7,1,2,6,0,0,
PROVA_JijiBabaFight_045_R_raw_debug.png,11,0,0,11,0,1,
PROVA_JijiBabaFight_053_L_raw_debug.png,13,0,0,13,0,0,
PROVA_JijiBabaFight_053_R_raw_debug.png,10,0,0,10,0,0,
PROVA_Joouari_051_L_raw_debug.png,4,0,0,4,0,0,
PROVA_Joouari_051_R_raw_debug.png,1,0,0,1,1,0,
PROVA_Jyovolley_002_L_raw_debug.png,1,0,0,1,0,0,
PROVA_KarappoHighschool_016_L_raw_debug.png,7,0,1,7,0,1,
PROVA_KarappoHighschool_016_R_raw_debug.png,5,0,0,5,0,0,
PROVA_KimiHaBokuNoTaiyouDa_011_L_raw_debug.png,11,0,3,12,0,2,
PROVA_KimiHaBokuNoTaiyouDa_011_R_raw_debug.png,7,0,0,7,0,0,
PROVA_KimiHaBokuNoTaiyouDa_025_L_raw_debug.png,11,1,1,11,0,1,Lampada falso positivo
PROVA_KimiHaBokuNoTaiyouDa_025_R_raw_debug.png,11,0,0,11,0,0,
PROVA_KyokugenCyclone_030_L_raw_debug.png,12,0,2,14,0,0,
PROVA_KyokugenCyclone_030_R_raw_debug.png,8,0,2,10,0,1,FN + 1 pois pegou 2 no mesmo bloco
PROVA_KyokugenCyclone_032_L_raw_debug.png,11,0,2,12,0,0,FN + 1 pois pegou 2 no mesmo bloco
PROVA_KyokugenCyclone_032_R_raw_debug.png,7,0,0,7,1,0,
PROVA_LancelotFullThrottle_069_L_raw_debug.png,24,0,1,25,0,0,
PROVA_LancelotFullThrottle_069_R_raw_debug.png,6,0,1,6,0,1,
PROVA_LancelotFullThrottle_095_R_raw_debug.png,6,0,3,9,0,0,
PROVA_LoveHina_vol01_044_L_raw_debug.png,7,0,0,7,0,0,
PROVA_LoveHina_vol01_044_R_raw_debug.png,10,0,1,11,0,0,
